Food Category,Meal Type,Protein,Carbs,Fat,Fiber,Sugar,Sodium,Water,Calories,Saturated Fat
Beverages,Lunch,49.6,31.9,19.0,7.2,34.7,579,474,180,4.8
Meat,Snack,45.2,5.7,24.4,7.6,47.5,566,666,376,7.08
Meat,Snack,43.2,39.8,2.3,2.5,41.3,723,828,356,0.55
Snacks,Breakfast,36.4,76.5,21.6,9.9,3.9,538,507,258,5.49
Fruits,Lunch,45.2,63.3,43.4,6.5,30.8,297,789,78,9.8
Beverages,Lunch,21.7,84.9,40.8,8.1,15.8,22,833,566,8.34
Snacks,Breakfast,23.8,55.9,47.7,7.9,2.8,786,364,88,12.32
Fruits,Snack,16.3,21.7,9.1,2.3,46.8,27,366,484,2.02
Beverages,Dinner,17.7,96.4,29.0,3.2,0.2,676,344,425,7.81
Dairy,Snack,41.0,51.5,7.0,4.7,20.6,54,378,588,1.65
Fruits,Lunch,45.7,50.2,12.3,7.4,28.2,270,446,209,2.9
Dairy,Lunch,11.2,48.9,29.7,9.8,38.3,763,334,416,5.61
Fruits,Lunch,40.6,87.5,24.4,8.9,11.1,223,726,538,5.57
Vegetables,Breakfast,24.4,65.5,12.2,4.3,29.3,642,234,270,2.5
Fruits,Breakfast,6.1,82.3,27.8,0.8,7.4,49,406,292,5.58
Meat,Lunch,23.5,47.3,21.7,2.2,35.0,320,378,522,4.59
Fruits,Breakfast,8.6,17.6,31.0,0.6,0.6,252,225,61,8.89
Vegetables,Snack,20.7,41.8,25.0,8.1,0.8,561,224,575,7.13
Beverages,Breakfast,1.9,21.6,15.6,4.2,1.0,670,723,160,3.82
Snacks,Lunch,22.0,27.5,40.2,8.3,32.4,459,541,570,9.19
Snacks,Lunch,15.1,61.8,30.2,1.2,25.9,38,855,585,5.9
Dairy,Snack,39.6,77.3,15.5,9.6,43.9,893,899,495,3.26
Dairy,Dinner,18.6,74.5,20.6,8.1,12.7,703,696,72,4.28
Dairy,Lunch,8.6,5.9,16.6,6.8,35.6,323,116,404,4.08
Beverages,Snack,40.4,72.8,39.0,8.7,47.9,817,930,204,8.29
Snacks,Dinner,24.3,58.3,9.1,5.5,39.6,7,287,426,1.86
Dairy,Lunch,19.3,88.7,6.2,0.3,12.1,878,492,165,1.28
Meat,Lunch,9.9,88.5,27.4,5.0,17.1,273,569,574,5.14
Beverages,Lunch,36.0,50.6,32.9,6.6,17.8,919,226,549,7.68
Grains,Snack,34.5,10.0,11.5,9.2,19.7,105,333,239,3.27
Dairy,Snack,10.2,38.5,37.3,4.3,25.8,602,948,80,7.35
Fruits,Dinner,3.8,26.5,33.0,7.3,10.3,601,734,368,6.63
Grains,Snack,7.7,49.7,34.7,8.9,46.7,770,888,561,6.23
Snacks,Dinner,16.3,68.3,9.4,2.5,30.6,72,314,276,1.81
Grains,Snack,46.2,73.4,16.1,2.0,24.7,274,930,78,3.61
Fruits,Dinner,22.2,94.7,15.5,5.8,33.6,72,134,467,2.96
Grains,Snack,22.7,9.5,42.1,6.3,43.4,880,410,573,11.07
Beverages,Dinner,46.7,5.1,17.7,6.5,9.2,910,458,459,5.63
Snacks,Snack,46.2,20.2,48.3,9.9,36.5,941,491,449,12.79
Vegetables,Dinner,28.6,10.8,23.6,1.3,33.2,824,940,248,6.35
Grains,Snack,27.3,50.7,31.2,8.2,39.3,527,946,581,6.65
Snacks,Breakfast,40.4,75.5,20.0,7.1,33.6,301,404,457,4.3
Fruits,Lunch,28.6,89.8,43.2,8.6,12.5,726,956,333,9.27
Vegetables,Dinner,9.1,46.5,6.8,0.4,7.4,329,812,311,1.46
Beverages,Lunch,14.1,72.2,44.9,9.2,41.8,36,500,447,8.3
Dairy,Dinner,22.9,28.5,46.4,10.0,10.3,137,275,260,11.52
Beverages,Lunch,10.5,80.2,23.3,1.6,0.0,998,489,163,6.23
Vegetables,Breakfast,44.1,43.5,43.2,0.1,5.3,416,606,370,11.8
Beverages,Breakfast,4.8,9.2,36.4,3.2,11.2,31,404,581,8.33
Beverages,Breakfast,9.9,61.1,24.7,6.4,28.3,281,864,164,4.59
Grains,Breakfast,47.9,54.6,44.4,4.9,41.1,195,423,512,10.22
Beverages,Snack,16.9,60.4,33.7,9.2,15.5,256,437,108,6.97
Dairy,Lunch,17.8,40.5,11.5,7.4,34.3,444,832,133,2.39
Meat,Breakfast,4.8,34.0,37.1,5.1,40.4,207,644,279,6.64
Snacks,Lunch,28.6,71.4,45.6,6.6,41.8,182,325,545,9.26
Dairy,Breakfast,30.8,13.5,47.3,7.5,19.6,871,765,68,12.88
Snacks,Lunch,24.1,37.7,35.4,0.6,20.8,889,366,258,8.03
Snacks,Dinner,7.4,70.3,33.3,9.6,18.7,510,328,535,6.17
Fruits,Dinner,9.2,65.6,9.9,4.2,46.7,800,313,265,1.76
Snacks,Snack,6.0,32.1,30.8,1.7,20.1,91,313,303,5.94
Snacks,Snack,18.8,19.0,25.4,5.1,5.1,723,685,507,6.91
Grains,Snack,14.3,19.1,16.0,5.0,41.1,166,904,269,3.57
Grains,Dinner,24.1,34.3,20.7,2.1,32.3,920,736,154,4.64
Vegetables,Lunch,49.5,60.5,32.8,7.8,4.4,94,125,587,8.86
Dairy,Dinner,11.8,52.5,29.0,6.2,46.8,136,424,235,5.42
Fruits,Snack,44.6,5.7,18.6,9.3,42.0,358,950,116,5.41
Grains,Snack,9.0,80.4,7.0,8.1,47.4,94,978,320,1.22
Meat,Snack,36.0,53.6,31.4,7.4,23.4,682,622,147,7.13
Vegetables,Snack,18.2,72.4,3.0,8.1,29.4,835,342,181,0.58
Grains,Snack,44.0,49.5,31.4,7.5,6.9,393,520,139,8.22
Fruits,Snack,10.9,32.5,15.3,4.2,11.9,46,450,363,3.31
Snacks,Dinner,25.2,63.9,39.1,7.0,13.1,648,217,348,8.59
Vegetables,Breakfast,26.8,9.1,34.3,1.4,41.2,856,255,374,9.25
Beverages,Breakfast,4.1,13.9,33.5,8.4,39.5,979,876,399,6.49
Beverages,Lunch,1.4,27.9,11.0,0.5,26.1,223,554,320,1.9
Dairy,Breakfast,11.1,41.7,3.3,0.1,7.0,602,846,477,0.73
Grains,Snack,7.0,34.6,19.9,7.7,45.9,217,313,502,3.67
Grains,Snack,11.2,15.0,36.1,0.4,21.0,562,972,204,8.34
Vegetables,Snack,41.7,41.9,12.8,6.1,24.4,583,690,130,3.08
Vegetables,Snack,16.9,11.3,41.2,3.5,25.8,448,987,544,10.43
Dairy,Breakfast,47.6,94.8,21.2,9.6,7.0,466,935,332,5.12
Beverages,Snack,32.2,94.3,35.6,8.8,15.4,200,660,190,7.56
Snacks,Snack,23.2,97.1,30.0,1.6,38.0,408,271,432,5.71
Meat,Dinner,47.1,98.9,30.0,2.7,41.1,781,568,368,6.27
Snacks,Lunch,20.9,92.6,7.8,8.0,3.2,524,196,251,1.86
Fruits,Breakfast,23.2,24.7,18.2,4.8,37.5,833,858,458,4.24
Fruits,Snack,44.3,12.6,14.6,5.4,20.8,313,500,296,4.15
Beverages,Dinner,23.0,80.1,31.0,6.8,30.2,21,871,266,6.12
Fruits,Breakfast,25.6,25.7,44.2,7.6,14.4,316,151,64,11.01
Grains,Breakfast,38.9,42.6,30.8,5.0,21.5,558,658,87,7.38
Beverages,Snack,8.8,78.3,16.0,0.5,39.6,980,808,310,2.82
Snacks,Dinner,45.9,38.8,38.4,3.0,8.7,576,188,161,10.25
Vegetables,Lunch,39.8,67.2,22.3,1.1,6.8,304,515,149,5.52
Fruits,Breakfast,47.8,23.3,24.2,10.0,25.0,941,603,208,6.44
Snacks,Dinner,40.6,85.0,20.4,2.0,37.4,2,542,462,4.28
Beverages,Breakfast,34.0,73.2,19.3,0.5,24.6,622,100,279,4.13
Meat,Breakfast,11.7,33.2,31.6,9.6,35.3,204,599,89,6.34
Snacks,Dinner,29.0,84.7,15.7,5.4,15.9,493,233,436,3.33
Grains,Lunch,39.7,44.2,21.8,5.2,7.9,506,349,235,5.64
Vegetables,Dinner,17.8,14.1,38.1,6.9,4.8,447,689,426,10.75
Vegetables,Lunch,8.2,41.9,16.0,1.7,6.3,918,849,75,3.49
Vegetables,Snack,36.1,39.0,31.6,7.0,1.2,371,688,529,9.54
Snacks,Snack,19.5,41.6,25.8,3.9,18.1,446,805,76,5.64
Dairy,Snack,2.5,48.7,17.0,3.7,18.5,475,420,144,3.03
Snacks,Lunch,47.5,84.8,16.3,6.9,40.6,10,703,149,3.49
Snacks,Breakfast,23.8,16.5,16.1,2.9,48.3,189,880,377,3.96
Dairy,Dinner,43.6,72.1,23.4,2.3,32.0,439,292,345,5.14
Beverages,Dinner,31.3,66.2,11.9,2.1,23.8,263,700,356,2.56
Snacks,Lunch,13.8,20.2,11.4,5.3,26.7,764,113,506,2.56
Fruits,Dinner,28.3,60.6,20.9,0.8,31.4,218,451,156,4.41
Vegetables,Lunch,36.4,11.6,39.5,4.3,37.0,638,352,352,10.8
Meat,Dinner,48.0,17.7,26.2,3.4,43.0,219,220,467,7.03
Grains,Breakfast,46.9,29.3,46.4,5.5,1.7,428,992,213,14.65
Snacks,Lunch,25.2,50.1,26.9,6.5,35.3,253,989,137,5.7
Fruits,Breakfast,29.6,56.7,45.0,5.8,36.1,608,607,57,9.59
Beverages,Lunch,9.3,9.6,36.2,0.9,16.6,711,915,268,8.81
Dairy,Snack,32.3,29.9,21.6,2.6,27.1,258,886,221,5.23
Grains,Lunch,7.3,53.0,38.7,1.6,48.8,299,656,554,6.86
Dairy,Breakfast,30.5,28.7,13.3,6.9,1.6,905,189,504,4.01
Beverages,Snack,7.5,14.6,34.4,9.0,35.4,350,594,374,7.26
Fruits,Snack,19.7,63.6,41.6,0.6,2.7,996,199,395,10.4
Meat,Breakfast,6.4,50.7,44.1,5.6,50.0,255,941,372,7.74
Fruits,Lunch,10.6,26.3,11.6,3.5,12.2,652,216,50,2.56
Vegetables,Lunch,16.5,100.0,20.1,7.7,48.8,864,130,283,3.63
Beverages,Dinner,24.0,55.6,8.3,5.4,16.4,37,433,216,1.81
Beverages,Snack,3.9,74.2,31.3,9.3,39.5,933,605,93,5.28
Dairy,Dinner,13.0,98.3,17.5,3.9,25.3,962,133,161,3.22
Snacks,Breakfast,39.4,21.2,8.1,7.3,33.1,419,904,363,2.1
Dairy,Lunch,14.5,88.1,38.7,7.5,28.2,339,419,357,7.2
Snacks,Lunch,17.2,94.2,42.8,8.5,21.7,581,266,59,8.2
Vegetables,Breakfast,18.9,87.7,17.5,9.7,2.0,355,682,452,4.34
Vegetables,Breakfast,9.6,53.5,14.2,5.7,21.0,507,964,440,2.72
Grains,Dinner,31.0,28.9,19.2,1.6,13.0,254,555,173,4.88
Beverages,Lunch,11.5,29.3,4.9,1.5,6.6,848,765,274,1.15
Meat,Snack,36.3,80.4,9.3,1.4,27.3,876,934,126,1.97
Dairy,Snack,40.0,82.9,19.6,1.6,18.9,777,824,353,4.3
Beverages,Dinner,48.8,5.0,38.1,3.9,50.0,54,594,556,11.15
Meat,Lunch,35.3,63.0,47.3,8.3,12.2,253,433,308,10.99
Snacks,Dinner,4.1,61.5,34.7,0.6,15.4,625,533,216,6.38
Grains,Dinner,24.6,67.9,5.4,3.8,13.5,334,314,67,1.17
Meat,Lunch,12.3,52.3,44.1,5.8,35.4,213,487,237,8.4
Meat,Breakfast,28.3,75.1,49.5,3.8,47.9,226,576,286,9.91
Dairy,Snack,24.7,91.1,2.9,5.3,49.2,583,920,147,0.55
Meat,Snack,28.2,92.5,23.6,2.0,48.3,46,463,137,4.58
Beverages,Dinner,27.1,70.7,43.5,5.3,12.3,805,192,350,9.57
Dairy,Dinner,44.4,12.6,18.5,2.9,19.3,48,172,196,5.28
Vegetables,Dinner,34.6,70.9,18.0,9.5,12.4,354,180,584,4.09
Snacks,Dinner,9.5,84.1,17.9,7.2,14.6,371,517,200,3.41
Dairy,Snack,17.8,5.9,22.3,3.2,29.1,964,995,92,6.08
Dairy,Lunch,37.4,55.8,10.8,1.7,37.6,306,123,423,2.39
Meat,Dinner,26.1,31.2,49.0,8.5,31.3,394,181,572,11.32
Dairy,Dinner,30.5,67.7,2.1,5.8,27.1,397,272,165,0.44
Snacks,Lunch,22.3,69.2,25.0,4.6,12.2,817,634,352,5.38
Vegetables,Dinner,12.9,10.0,27.1,8.9,31.1,122,694,363,6.63
Beverages,Breakfast,11.1,42.3,15.4,2.4,3.8,964,925,148,3.66
Dairy,Dinner,41.0,17.9,34.9,5.3,31.6,860,371,130,9.29
Fruits,Dinner,44.2,24.6,45.6,6.1,20.0,525,381,83,12.08
Grains,Breakfast,27.0,74.1,3.9,9.5,26.0,120,488,186,0.8
Grains,Lunch,44.4,88.8,45.7,1.3,7.9,739,836,531,10.89
Meat,Snack,5.4,6.5,31.9,7.1,26.0,626,959,141,7.3
Meat,Dinner,16.0,60.4,24.1,4.9,18.9,71,614,521,4.87
Vegetables,Breakfast,35.6,33.7,15.5,8.1,12.6,740,441,510,3.94
Beverages,Dinner,15.5,66.0,15.7,8.1,35.4,107,361,117,2.99
Beverages,Snack,8.7,55.3,13.2,7.6,27.0,447,174,240,2.45
Grains,Snack,33.0,77.6,24.4,4.7,3.4,538,450,96,6.19
Vegetables,Lunch,31.0,45.0,41.4,3.2,5.9,991,766,528,10.61
Snacks,Snack,48.9,74.0,23.0,1.2,33.1,632,467,81,5.11
Dairy,Lunch,32.0,86.2,29.2,3.0,33.8,423,730,299,5.93
Fruits,Dinner,9.1,29.5,15.5,2.3,33.4,996,556,205,3.06
Vegetables,Dinner,4.4,90.3,15.1,4.4,40.3,277,682,313,2.54
Dairy,Dinner,35.0,48.7,29.8,5.7,18.3,397,160,335,6.96
Grains,Snack,19.1,64.6,1.3,6.4,9.4,717,363,571,0.28
Meat,Lunch,4.8,36.9,49.2,2.3,28.1,306,813,160,8.95
Meat,Lunch,28.9,69.6,5.8,0.3,1.6,211,703,286,1.56
Vegetables,Snack,1.2,47.2,16.7,8.8,43.3,444,266,62,2.74
Beverages,Breakfast,32.3,51.2,37.7,3.5,27.9,759,296,538,8.39
Dairy,Dinner,45.4,66.8,29.1,4.6,14.6,100,886,175,6.86
Meat,Snack,18.7,96.6,41.2,6.3,0.2,323,262,64,11.14
Dairy,Dinner,13.3,91.7,15.2,1.1,32.2,86,897,310,2.77
Fruits,Breakfast,18.7,25.6,32.5,3.3,35.5,194,431,301,7.29
Snacks,Breakfast,42.4,77.8,19.8,1.1,34.8,597,515,213,4.26
Dairy,Dinner,22.3,43.0,39.8,2.4,49.3,547,692,179,8.34
Beverages,Lunch,20.3,85.2,17.3,6.5,46.3,674,733,202,3.26
Vegetables,Breakfast,17.8,28.9,20.2,3.2,8.5,971,822,53,4.91
Beverages,Breakfast,39.0,57.1,6.9,1.7,20.6,118,767,215,1.59
Dairy,Dinner,36.9,84.6,27.7,1.9,36.3,339,278,390,5.74
Meat,Dinner,17.9,35.6,36.8,5.1,31.8,844,520,142,7.83
Dairy,Breakfast,26.5,50.3,40.3,8.5,26.4,130,841,358,8.75
Vegetables,Breakfast,18.2,8.4,14.0,3.4,5.5,563,394,317,4.15
Meat,Snack,33.1,51.3,6.4,5.9,46.1,701,364,310,1.39
Vegetables,Breakfast,6.1,69.1,11.4,6.0,39.4,338,735,529,1.98
Dairy,Dinner,31.0,33.1,34.3,2.2,11.9,136,856,525,8.61
Meat,Lunch,9.2,27.6,36.7,1.0,9.2,863,375,227,8.14
Fruits,Dinner,17.0,38.6,33.6,0.2,14.8,709,332,192,7.4
Meat,Lunch,21.6,32.0,12.5,1.7,7.2,613,851,354,3.13
Dairy,Dinner,43.9,24.7,23.9,8.4,2.3,357,203,149,7.48
Fruits,Dinner,46.0,12.9,33.6,3.6,48.4,297,584,391,9.23
Grains,Snack,5.6,23.9,46.9,7.2,13.0,205,112,409,9.63
Snacks,Breakfast,46.2,17.5,6.2,9.8,0.8,212,942,214,2.13
Dairy,Breakfast,6.1,52.3,24.8,8.6,32.5,685,848,100,4.43
Fruits,Dinner,43.0,53.0,38.0,0.0,16.9,346,319,401,9.09
Grains,Lunch,43.2,82.2,23.9,2.5,33.6,717,304,428,5.12
Meat,Breakfast,27.5,32.3,2.8,1.7,42.6,723,225,484,0.64
Dairy,Snack,31.0,99.3,40.9,2.6,32.5,677,919,569,8.13
Beverages,Snack,2.9,23.6,2.3,2.3,15.9,99,550,265,0.44
Fruits,Lunch,43.1,95.7,19.8,7.2,14.4,39,542,322,4.4
Vegetables,Breakfast,5.7,61.6,35.0,8.8,44.0,403,298,210,6.05
Beverages,Dinner,2.5,64.3,18.6,9.4,45.9,237,498,198,3.08
Fruits,Lunch,45.5,72.7,38.2,1.4,45.4,867,404,124,8.3
Beverages,Snack,35.0,59.0,3.8,6.7,39.1,201,411,292,0.82
Dairy,Snack,17.4,78.8,1.6,7.8,26.3,451,717,584,0.31
Dairy,Lunch,18.6,52.9,41.1,6.0,48.9,781,671,196,8.13
Snacks,Breakfast,4.6,59.2,5.3,4.6,48.4,669,170,468,0.9
Meat,Snack,48.7,38.7,32.3,6.9,35.1,482,842,74,7.92
Grains,Breakfast,31.7,82.3,5.4,6.2,5.9,624,116,208,1.28
Fruits,Dinner,32.0,43.0,41.0,3.9,32.2,564,392,316,9.29
Fruits,Lunch,5.7,28.0,20.9,7.3,26.6,412,846,531,3.98
Snacks,Dinner,8.6,90.5,28.6,7.1,30.1,877,364,382,5.07
Dairy,Lunch,32.7,47.6,16.8,4.4,48.7,594,919,280,3.69
Beverages,Breakfast,42.2,25.5,44.8,0.2,48.9,358,770,410,11.26
Snacks,Snack,5.2,97.3,34.9,6.7,12.9,84,502,435,6.47
Dairy,Snack,22.9,41.0,19.2,3.6,7.4,521,118,464,4.67
Beverages,Snack,12.3,87.3,21.6,8.8,19.4,444,398,576,4.08
Beverages,Breakfast,43.0,30.9,1.5,4.4,41.0,538,948,101,0.37
Dairy,Lunch,20.9,45.5,29.7,2.7,2.0,535,803,488,7.96
Snacks,Dinner,12.8,37.2,43.2,6.8,36.7,735,197,183,8.62
Dairy,Breakfast,18.7,18.4,46.5,0.8,12.6,423,172,181,11.72
Fruits,Snack,42.7,83.0,32.8,0.2,8.1,390,161,570,7.83
Beverages,Snack,31.2,26.5,12.4,8.8,49.6,960,976,255,2.96
Fruits,Breakfast,15.6,31.9,45.0,8.7,17.0,59,875,525,9.94
Beverages,Snack,12.5,90.1,26.8,6.7,1.2,497,687,202,6.67
Grains,Lunch,40.2,33.6,43.9,5.2,43.1,636,253,289,10.58
Dairy,Snack,21.3,14.7,19.9,1.7,26.3,894,401,488,5.02
Beverages,Breakfast,35.6,50.8,47.2,0.7,6.3,153,498,102,12.05
Fruits,Dinner,11.0,94.2,29.4,6.9,0.2,486,334,556,7.69
Fruits,Dinner,45.3,38.9,34.7,2.0,33.6,756,108,247,8.42
Snacks,Lunch,46.3,93.5,44.9,6.8,43.9,367,129,188,9.41
Grains,Dinner,47.4,19.4,35.6,7.0,41.1,453,897,372,9.46
Dairy,Dinner,7.6,9.3,10.0,2.0,31.4,576,953,94,2.27
Meat,Lunch,38.8,72.7,37.6,4.6,0.1,610,977,145,11.27
Snacks,Dinner,30.8,37.2,25.2,5.1,17.9,232,828,294,6.02
Beverages,Snack,37.0,22.3,35.2,7.9,9.8,947,761,234,9.71
Vegetables,Dinner,17.9,24.7,38.7,7.2,26.1,356,215,258,8.81
Beverages,Snack,48.3,66.1,33.1,4.2,30.1,435,702,166,7.51
Grains,Breakfast,45.2,42.2,24.4,6.3,16.7,490,813,109,6.09
Meat,Snack,26.9,65.1,18.5,2.8,3.4,405,968,119,4.68
Snacks,Lunch,41.5,55.9,7.8,9.4,12.3,838,454,452,1.89
Meat,Dinner,45.6,17.3,46.8,6.8,43.6,664,759,590,12.51
Grains,Snack,24.4,75.2,18.0,5.0,10.9,436,263,324,3.92
Grains,Dinner,44.0,42.2,46.8,5.0,24.6,128,234,172,11.35
Fruits,Breakfast,16.6,24.9,49.2,4.6,42.7,130,132,272,10.78
Dairy,Breakfast,42.3,66.7,7.9,6.0,45.7,479,395,501,1.72
Fruits,Breakfast,46.7,51.8,33.9,8.4,46.8,685,432,291,7.8
Meat,Breakfast,27.7,50.9,28.0,0.8,4.3,862,185,405,7.17
Fruits,Lunch,14.3,25.8,29.5,2.7,23.3,6,670,372,6.49
Beverages,Lunch,11.1,35.2,25.2,0.6,26.6,304,910,170,5.07
Grains,Dinner,45.0,76.1,5.1,9.3,45.3,230,517,422,1.1
Beverages,Breakfast,12.8,48.7,4.0,5.0,11.7,258,577,320,0.84
Snacks,Dinner,40.8,47.7,6.6,6.1,36.9,463,667,268,1.52
Meat,Snack,7.7,77.7,34.9,9.9,10.5,590,781,223,6.83
Grains,Snack,32.0,39.9,10.6,1.6,15.4,27,871,344,2.55
Dairy,Breakfast,36.1,71.4,21.4,4.8,30.1,208,940,432,4.58
Grains,Breakfast,31.6,83.0,18.9,7.5,15.7,120,562,360,4.07
Fruits,Breakfast,26.6,80.2,33.5,5.2,13.7,131,564,61,7.16
Dairy,Dinner,29.8,38.3,4.1,7.9,49.2,988,752,542,0.92
Beverages,Dinner,43.3,71.2,13.5,6.4,41.7,298,821,333,2.93
Meat,Lunch,3.4,79.9,24.2,7.2,22.3,59,834,190,4.22
Meat,Breakfast,30.3,70.0,33.4,7.5,19.0,350,496,201,7.2
Grains,Breakfast,3.2,46.4,35.0,4.6,20.4,347,114,375,6.27
Fruits,Dinner,31.8,87.9,29.7,6.6,4.2,681,192,277,7.24
Beverages,Breakfast,10.7,77.0,38.0,8.7,2.3,224,675,320,8.99
Vegetables,Snack,31.4,11.7,33.5,0.4,28.8,408,879,557,9.1
Meat,Lunch,46.5,95.8,43.2,0.9,32.1,372,438,73,9.16
Dairy,Lunch,9.2,15.9,12.3,2.1,41.8,272,164,383,2.63
Grains,Lunch,45.7,82.3,20.2,0.5,8.3,621,891,557,4.86
Dairy,Snack,49.0,86.6,30.1,0.8,3.5,640,472,258,7.91
Meat,Snack,37.3,66.3,2.2,5.9,5.2,376,903,428,0.56
Meat,Breakfast,20.0,78.4,45.7,1.7,31.6,199,999,547,8.86
Fruits,Dinner,26.4,21.6,19.2,1.8,45.1,244,702,293,4.62
Beverages,Dinner,34.5,7.4,8.9,1.0,29.8,902,853,570,2.54
Fruits,Dinner,1.0,70.2,1.7,4.0,14.0,361,580,181,0.3
Beverages,Lunch,23.0,22.9,38.3,4.9,37.0,332,722,161,9.02
Grains,Snack,16.0,63.7,32.5,7.8,11.0,399,890,158,6.86
Vegetables,Snack,9.7,30.7,35.5,6.8,32.4,306,460,380,7.05
Dairy,Snack,46.2,80.7,9.6,2.9,22.9,844,608,504,2.13
Dairy,Dinner,37.0,5.5,1.5,8.8,4.3,264,716,279,0.5
Fruits,Dinner,17.2,66.4,21.9,7.6,45.2,891,708,310,4.17
Vegetables,Breakfast,42.6,64.2,5.6,4.0,3.1,222,762,79,1.52
Fruits,Dinner,26.3,82.7,46.8,1.6,48.3,666,434,224,9.14
Beverages,Snack,38.1,11.8,45.0,2.1,26.5,373,899,326,12.52
Grains,Snack,30.4,50.5,13.5,7.3,20.3,988,667,433,3.04
Beverages,Lunch,2.0,70.1,48.0,9.2,28.1,616,918,279,8.12
Vegetables,Breakfast,6.1,37.4,11.0,4.6,47.7,230,919,105,1.98
Vegetables,Snack,38.6,20.2,1.4,2.1,0.3,427,255,445,0.48
Beverages,Lunch,8.9,98.2,10.1,6.0,27.5,898,284,422,1.8
Dairy,Breakfast,31.7,95.3,19.7,3.3,38.0,334,768,381,3.92
Meat,Dinner,22.5,95.5,10.0,1.8,7.7,59,680,434,2.18
Snacks,Lunch,30.8,90.2,18.1,5.5,16.6,707,195,450,3.82
Beverages,Dinner,32.4,35.3,19.6,5.8,23.7,978,892,446,4.67
Beverages,Breakfast,10.6,99.4,29.5,4.6,43.0,476,731,335,5.15
Grains,Breakfast,25.0,29.2,39.4,0.4,44.4,972,981,391,8.99
Fruits,Snack,47.8,8.1,43.8,9.6,42.4,614,301,514,12.55
Vegetables,Snack,31.4,94.8,8.0,4.0,15.4,910,851,263,1.69
Fruits,Snack,18.4,35.0,22.3,9.6,33.9,509,125,92,4.76
Beverages,Dinner,10.9,7.3,47.3,7.7,26.4,506,802,273,11.88
Grains,Breakfast,28.0,61.7,17.3,7.3,10.3,727,119,304,3.96
Dairy,Breakfast,41.6,17.2,6.6,8.5,47.7,768,759,467,1.74
Fruits,Lunch,14.6,97.3,43.8,4.7,26.4,222,512,483,8.12
Beverages,Breakfast,48.9,34.5,42.2,9.5,31.6,537,542,84,10.57
Grains,Breakfast,30.0,80.7,43.3,7.0,9.4,573,673,522,9.74
Fruits,Breakfast,28.2,86.2,8.8,1.5,42.9,187,133,145,1.73
Beverages,Snack,44.3,21.4,38.5,2.1,10.9,0,285,443,10.82
Beverages,Snack,21.8,12.9,17.1,1.7,16.9,687,443,415,4.52
Fruits,Snack,15.9,19.4,21.4,4.8,45.8,252,342,575,4.83
Beverages,Snack,42.7,93.8,3.9,0.6,24.8,300,830,364,0.83
Vegetables,Snack,44.3,24.7,46.2,4.7,15.5,482,933,574,12.44
Meat,Dinner,4.4,33.9,7.2,7.1,31.4,160,442,574,1.3
Meat,Snack,4.8,96.3,6.2,8.8,2.8,707,562,482,1.37
Snacks,Breakfast,32.0,21.5,45.7,8.7,49.0,987,594,149,11.3
Grains,Breakfast,25.0,13.6,16.7,9.4,6.5,416,596,438,4.81
Fruits,Dinner,38.0,63.6,32.1,4.0,23.8,685,751,58,7.16
Fruits,Snack,2.4,77.7,40.6,3.5,47.9,973,640,400,6.65
Vegetables,Lunch,16.3,85.8,33.1,6.3,2.4,995,210,262,7.99
Vegetables,Snack,23.5,40.0,47.6,3.7,23.3,49,283,86,10.58
Fruits,Lunch,14.0,49.1,45.4,9.6,35.3,493,638,475,8.86
Fruits,Lunch,39.8,84.9,43.5,9.3,42.3,982,954,101,9.05
Grains,Dinner,36.3,85.9,8.1,7.0,1.2,91,701,522,2.23
Grains,Dinner,35.3,14.6,44.7,1.3,28.8,895,733,137,12.02
Vegetables,Lunch,4.5,86.6,22.2,8.5,24.9,876,321,436,3.86
Dairy,Lunch,23.3,63.3,19.6,2.2,15.1,445,391,168,4.21
Fruits,Snack,19.6,81.2,20.9,0.9,13.5,415,915,184,4.3
Grains,Dinner,33.2,51.9,3.5,9.3,9.5,119,167,576,0.85
Dairy,Snack,4.6,78.8,27.8,5.1,40.3,205,780,318,4.7
Vegetables,Breakfast,22.1,57.6,48.3,6.0,42.9,544,899,517,9.73
Beverages,Dinner,7.7,61.3,11.1,6.1,0.7,441,525,149,2.82
Dairy,Breakfast,26.1,79.8,28.4,5.8,20.8,718,226,147,5.85
Fruits,Snack,13.2,81.3,38.0,1.5,44.6,845,365,282,6.87
Dairy,Lunch,40.2,46.0,34.1,5.7,15.4,231,197,96,8.31
Snacks,Dinner,42.3,78.5,12.6,1.5,7.4,818,442,90,3.05
Meat,Breakfast,19.5,41.2,21.2,3.6,25.0,637,682,540,4.54
Fruits,Breakfast,36.5,82.6,44.5,4.4,7.7,284,809,327,10.46
Fruits,Snack,19.4,47.5,8.8,0.2,34.9,586,661,266,1.81
Vegetables,Breakfast,23.6,75.2,43.4,9.6,16.1,391,384,415,9.08
Fruits,Dinner,16.6,65.7,46.8,4.2,23.0,948,485,332,9.25
Vegetables,Snack,22.8,57.8,19.0,8.1,8.0,541,423,91,4.38
Dairy,Snack,38.7,72.0,32.3,4.6,11.3,626,335,158,7.51
Dairy,Dinner,18.4,65.1,30.3,1.4,32.9,136,736,347,5.93
Snacks,Dinner,17.7,54.2,35.2,6.2,31.9,921,334,169,7.04
Vegetables,Snack,33.2,81.2,42.9,5.4,22.4,168,178,480,9.07
Vegetables,Snack,9.6,93.6,26.4,0.4,2.6,361,723,286,6.06
